offense_charge_desc,offense_freq_count
EXPIRED INSPECTION STICKER 05/10,10
CAB - FAILURE TO SUBMIT REGISTRATION APPLICATION,10
EXPIRED INSPECTION STICKER  08/11,10
INSPECTION STICKER - EXPIRED 3/13,10
CMV-TIRE VIOL-TREAD GROUP 393 75C,10
SMOKING - SMOKING OR BURNING TOBACCO,10
NOISE - AFTER HOURS RESIDENTIAL,10
ZONING - DEVELOPMENT IN CRITICAL WATER QUALITY ZONE,10
INSPECTION STICKER - EXPIRED 09/12,10
SOLID WASTE SERV.-OBJECTIONABLE MATTER,10
GT - REPORT TO PLACE VEHICLE IN SERVICE,10
HEALTH - UNSANITARY CONDITIONS,10
EXPIRED INSPECTION STICKER 09/10,10
NMV - LANE MUST TURN LEFT/RIGHT,10
EXPIRED DRIVER LICENSE - OPERATOR (NON-COMMERCIAL)  11/12,10
PARKING - TOW AWAY ZONE-30264477,10
BETTING ON GAMES,10
INSPECTION STICKER - EXPIRED  05/11,10
ALLOW UNLAWFUL USE OF DRIVERS LICENSE,10
CMV - WEIGHT-OVER REGISTERED 18001 - OVER LBS,10
DOG ORD - AT LARGE (HEALTH DEPT),10
Posted Sign - Do Not Block Intersection,10
PARKING - TOW AWAY ZONE-30264499,10
FIRE - TEMPORARY MEMBRANE OR TENT PERMIT,10
EXPIRED INSPECTION STICKER 01/12,10
EXPIRED INSPECTION STICKER VIOLATION  08/08,10
R.O.W. - NO TEMPORARY USE PERMIT POSTED,10
MUST ENTER FREEWAY - POSTED SIGN,10
BRAKE VIOL - TUBING 393.45,10
DRIVER LICENSE REST - PROHIBITED HOURS,10
SMOKING - WITHIN 15' OF PUBLIC ENTRANCE,10
SMOKING ORD - OWNER ALLOWING,10
FIRE - OCCUPY BEFORE APPROVAL,10
INSPECTION STICKER - EXPIRED  02/12,10
DRIVER'S LIC REST - BETWEEN CERTAIN HOURS,10
PARKING - OTHER - U.S. GOV'T VEHICLE ZONE,10
INOPERABLE LIGHT - FAILED TO STOP,10
INSPECTION STICKER - EXPIRED  01/12,10
CMV - NO HEADLIGHTS 393 24,10
NMV - ALLOW CHILD RIDE BICYCLE W/O HELMET,10
SOLID WASTE - ILLEGAL USE OF PRIVATE DUMPSTER,10
FAILURE TO IDENTIFY - FALSE REPORT,10
EXPIRED OPERATORS LICENSE  05/10,10
CMV - EXPOSED FUEL LINE,10
OPERATED OR MOVED UNSAFE VEHICLE,10
CMV - NO COPY OF REGISTRATION RECEIPT,10
PARKING - TOW AWAY ZONE - NO PARKING AREA,10
CMV - WEIGHT GREATER THAN PERMIT,10
WEIGHT-OVER GROSS 5001 - 9999 LBS,10
WATERSHED - FAILED TO MAINTAIN LANDSCAPING,10
HAZMAT - RELEASE OF HAZARDOUS MATERIAL,10
Pedestrian Soliciting in Roadway-State law,10
R.O.W - NO PERMIT FOR R.O.W. EVENT,10
WWW - NO STORM SEWER DISCHARGE PERMIT,10
PRESENTED LICENSE OF ANOTHER(CLASS B),10
INSPECTION STICKER - EXPIRED  08/13,10
BUILDING CODE - NO ELECTRICAL LICENSE,10
HEALTH ORD ANIMALS FOR LIVE COMMERCE,9
OBSTRUCTED DRIVERS VIEW-AFFIXED MATERIAL,9
ZONING - OBJECT/SIGN ON PUB PROPERTY/ROW,9
WRONG WAY ONE-WAY STREET-rs041607,9
GT - VEHICLE TO DISPLAY PERMIT,9
Game room - access,9
POSTED SIGN: NO THRU TRUCKS,9
GLASS COATING MATERIAL UNAPPROVED,9
PARKING - RESERVED (MUNICIPAL COURT),9
ZONING VIOL- NO CERT OF OCCUPANCY,9
CDL VIOL-ALLOW UNLICENSED DRIVER,9
POSTED SIGN-NO RT/LFT 7-9 4-6,9
FAILURE TO YIELD T- INTERSECTION,9
FOLLOWING TOO CLOSELY,9
MINOR DRIVING UNDER THE INFLUENCE OF ALCOHOL,9
LOITERING WALKING IN STREET- 81C,9
CURFEW  NIGHTTIME (11:30 PM - 6:00 AM),9
PERMIT VIOLATION-HEAVY TRUCKS,9
EXPIRED INSPECTION STICKER  06/09,9
ATTEMPTED CRIMINAL TRESPASS,9
ALLOW CHILD WITHOUT SEAT BELT 4-14 YR,9
SOLICIT IN A MOTOR VEHICLE,9
WRECKER ORD-NO SAFETY CHAINS,9
FAILURE TO MAINTAIN ASSURED CLEAR DISTANCE -  NON - COLLISION,9
TOW VIO.- NO REAR TAIL LIGHTS,9
EXPIRED INSPECTION STICKER VIOLATION  06/08,9
ZONING - PORTABLE SIGNS,9
Fail to Maint Com/Mult Req. H2O Qual Cntl.,9
FIRE ORD.-OBSTRUCTED EXIT DOOR,9
SCHOOL BUS - FAILED TO SIGNAL LOADING/UNLOAD,9
ZONING VIOL- LAND DEV CERT TO OCCU PLAN,9
VENDING-LICENSE VERIFICATION CARD,9
NO REFLECTORS ON VEHICLE (TTC 5.47.325),8
UNDATED / ALTERED BUYERS PLATES,8
DEVELOPMENT CONTRARY TO SITE PLAN,8
UNAUTHORIZED REPRODUCTION/TEMPORARY TAGS,8
SITTING OR LYING ON PUBLIC SIDEWALK,8
Speeding-state work zone-no workers,8
BICYCLE - FAILURE TO YIELD ROW ALLEY,8
HEALTH ORD NO FOOD PERMIT-MOBIL VENDOR,8
DISORDERLY CONDUCT-NOXIOUS ODOR,8
WEIGHT-OVER REGISTERED WEIGHT,8
ANIMAL - INTERFERENCE WITH EMPLOYEE'S DUTIES,8
RECREATIONAL VEHICLE - STORAGE,8
EXPIRED INSPECTION STICKER VIOLATION  01/08,8
EXPIRED INSPECTION STICKER VIOLATION  04/09,8
EXPIRED REGISTRATION TTC:502.407  02/08,8
UNREGISTERED OR EXPIRED MOTOR VEHICLE,8
SPEEDING-WORK ZONE-WORKERS,8
BICYCLE - RIDING ON BUSINESS SIDEWALK,8
Disregard Order of Police- Traffic,8
HEALTH - FOOD FROM UNAPPROVED SOURCE,8
DOG ORDINANCE - NO COLLAR,8
CMV-TIRE VIOL-LOCATED ON STEER AXLE,8
PARKING - PARALLEL ONLY,8
DOG ORD - IMPROPER RESTRAINT(MANNER),8
BUILDING VIOL - FAIL TO OBTAIN PERMIT,8
CRIMINAL INSTRUMENT - TPC 16.01,8
U-TURN INTERSECTION-SIGNAL,7
SALE OF CIGARETTES TO MINOR (EMPLOYEE),7
CABLE THEFT,7
LENGTH VIOL - LOAD EXTENDING-6701D,7
WEIGHT-OVER GROSS 0 - 5000 LBS,7
BRAKE VIOL - LOW PRESSURE WARN DEVICE-rs10/02/07,7
IMPRUDENT SPEED-FIX OBJ 10-25 MPH POSTED,7
ANIMAL IMPOUNDMENT INTERFERENCE,7
DRIVER'S LICENSE REST-(CODE A & B),7
Failure to Yield from Alley,7
NO RIGHT/LEFT ON RED-POSTED SIGN,7
FAILURE TO IDENTIFY,7
WATERSHED - CUT GREATER THAN 4 FEET,7
CMV-BRAKE VIOL - LEAKS CONST 393.46,7
FAILURE TO YIELD-FLASHING RED LIGHT,7
LICENSE PLATE - ILLEGAL ILLUMINATED DEVICE,7
TRAILER - NO AUTOMATIC TRAILER BRAKE,7
WEIGHT-OVER GROSS 10000 OR MORE LBS,7
POSTED SIGN - LANE MUST TURN LEFT/RIGHT,7
ZONING - ACCESSORY USE,7
RED LIGHT IN FRONT CENTER OF VEHICLE,7
OBSTRUCTED DRIVERS VIEW-PASSENGERS,7
EXPIRED INSPECTION STICKER VIOLATION  02/08,7
GT - EXPIRED CHAUFFEUR'S PERMIT,7
BICYCLE - FAILURE TO YIELD ROW STOP SIGN,7
FAILURE TO YLD PEDESTRIAN WALK SIGNAL,7
Pedestrian on wrong side of roadway,7
PARKING - OBSTRUCT TRAF NEXT TO CONST,7
ZONING VIOL- VEH SALES ON ROW,7
Video Receiving Equipment-View of Driver,7
CDL - NO HAZ MAT SHIPPING PAPER,7
DRIVER'S LICENSE REST-CODE R,7
IMPRUDENT SPEED-FIX OBJ 35-65 MPH POSTED,7
PASSING IN NO-PASSING ZONE,7
DISORDERLY CONDUCT-EXCESS NOISE-PUBLIC,7
CMV-VEH VIOL HEIGHT,7
GT  REFUSAL TO CONVEY PASSENGERS,7
Health Ord - No food manager's cert.,7
BUILDING VIOL - NO ELECTRICAL LICENSE,7
CDL VIOL-DRIVER DISQUALIFICATION,7
ZONING - HOME OCCUPATION VISIBLE,7
TAMPERING WITH BARRICADE,7
POSTED SIGN- NO U-TURNS,7
EXPIRED INSPECTION STICKER  03/09,6
MOTORCYCLE - NO DRIVERS LICENSE - 2ND,6
FAIL STOP AT PROPER PLACE-LIGHT,6
COMM VEH VIOL-LOW TIRE PRESSURE,6
FAIL TO CHANGE NAME\ADDRESS ON DL-RS03/05/07,6
PARKING - TOW AWAY COMMERCIAL SERVICE ZONE ( NO MARKINGS),6
POSTED SIGN-ROAD CLOSED,6
ANIMAL ORD.-TRANSPORTING AN ANIMAL IN A MOTOR VEHICLE,6
HAZMAT - PLACARD NOT PROPERLY PLACED,6
ATTEMPT TO PURCHASE ALCOHOL BY MINOR,6
POSTED SIGN-DO NOT BLOCK INTERSECTION,6
False Statement To Obtain Property or Credit,6
BRAKE VIOL - DEFECTIVE BRAKE LINING,6
CMV - WEIGHT-OVER REGISTERED 10001 - 14000 LBS,6
DRIVER'S LIC REST - CODE P -TOO MANY PASSENGERS,6
DISPLAYED OR DISTRIBUTED OBSCENE MATERIAL,6
DR ON WRONG SIDE OF RD - 4 LANES,6
Wrecker - Exceeding 20 minutes,6
FAILURE TO PROCEED THROUGH GREEN LIGHT,6
CMV-IDENTIFY MARK-SIGN/PLACARD,6
NO DRIVERS LICENCE,6
"""VEHICLE WASHING",6
JUVENILE CURFEW - 10 PM - 6 AM,6
WRECKER - CONNECTION NOT STRONG ENOUGH,6
GOLF CART ON PUBLIC STREET,6
CMV - COUPLING WITH 5TH WHEEL,6
"""STOPPING",6
AMPLIFYING WITHOUT PERMIT,6
ZONING - HOME OCCUPATION - TENANT,6
AIRPORT - FAILED TO DISPLAY MEDIA ID,6
BRAKE - TRAILER BRAKE,6
ZONING VIOLATION - RV STORAGE,6
CMV- Weight: Overall Gross formula (0 - 5000 lbs),6
DISORDERLY CONDUCT - FIGHTING,6
RAN STOP SIGN-(NO INTERSECTING STREET),6
POSTED SIGN-WENT STRAIGHT/LEFT ONLY,6
RAN RED LIGHT NOT AN INTERSECTION,6
HEALTH - PUBLIC POOL CLARITY,6
MOTORCYCLE PARKING,6
ZONING - 3' FENCE AT INTERSECTION,6
AIRPORT - ABANDONED PROPERTY,6
CMV - INSUFFICIENT HEIGHT TO BLOCK LOAD,6
WSA - RECKLESS OR NEGLIGENT OPERATION,6
EXPIRED INSPECTION STICKER  05/09,6
BRAKE VIOL - NO BREAKAWAY BRAKE,6
TOWING - SAFETY CHAINS - 6701D 106A,6
BUILDING CODE - NO RELOCATION PERMIT,6
SOLICITATION ORD - NO REGISTRATION,6
PARKING - MX CONSULATE PASS & LOAD ZONE,6
CMV - DEFECTIVE COUPLING DEVICES,6
Smoking on School Property,6
"""CMV - WEIGHT:  GROSS WEIGHT (20",5
WWW- FAIL TO MAINTAIN ON-SITE SEWAGE FACILITY,5
WRECKER ORD-FAILURE TO CARRY REQUIRED EQUIPMENT,5
WRECKER - FAILED TO TIMELY NOTIFY OWNER,5
WEIGHT LIMIT 34000 LBS TANDEM 6 - 10000,5
U TURN NOT IN SAFETY,5
SWIMMING IN BARTON CREEK,5
SMOKING - DISTRIBUTING TOBACCO TO MINOR,5
POSTED SIGN - NO RIGHT ON RED,5
PARKING - TOW AWAY COMM SERVICE ZONE (OVER 30 MIN),5
OPERATE MOTOR VEHICLE ON PARK,5
NON-MOTORIZED VEHICLE - RAN FLASHING RED LIGH,5
MOTORCYCLE - MOPED-TOO MANY RIDERS,5
LANE ENDS/MERGE - POSTED SIGN,5
INSPECTION STICKER - EXPIRED 02/13,5
INSPECTION STICKER - EXPIRED (5/13),5
HAZMAT - SHIPPING PAPER NOT READILY AVAILABLE,5
GT - FAIL TO DISPLAY OA PERMIT TAXI,5
FAILED TO YIELD FROM PRIVATE DRIVE OR ALLEY FTYROW OPEN INTERSECTION,5
EXPIRED TRAILER INSPECTION STICKER  04/11,5
EXPIRED OPERATORS LICENSE  09/10,5
EXPIRED INSPECTION STICKER 03/11,5
EXPIRED INSPECTION STICKER  09/00,5
EXPIRED INSPECTION STICKER  02/07,5
DIRECT SALES ON STREET OR RIGHT-OF-WAY,5
COLLISION,5
CMV - NO REAR END PROTECTION,5
"""CMV - WEIGHT:  GROSS WEIGHT (10",5
ZONING - SPECIAL PERMIT USE,5
TRANSPORTATION OF LOOSE MATERIALS,5
TIME ZONE (UNMETERED) 1 HR PARKIN,5
SPEEDING - STATE HIGHWAY LASER,5
SPEEDING - POSTED CITY STREET 47/35- LASER,5
Q,5
PLACARDING-PROHIBITED PLACARDING,5
PARKING - TOW AWAY TIME ZONE (UNMETERED) 1 HR PARKING,5
NMV - UNSAFE MOVEMENT LEFT/RIGHT,5
MOTORCYCLE - EXPIRED BUYERS PLATE,5
METAL RECYCLER FAILED TO KEEP RECORDS,5
INSPECTION STICKER - EXPIRED 4/12,5
INSPECTION STICKER - EXPIRED 02/12,5
GANG RELATED ACTIVITY,5
FIRE - ANNUAL MAINTENANCE,5
EXPIRED OPERATORS LICENSE 05/29/2011,5
EXPIRED INSPECTION STICKER VIOLATION  09/08,5
EXPIRED INSPECTION STICKER 11/11,5
EXPIRED INSPECTION STICKER   02/11,5
DRIVING WHILE LICENSE INVALID - suspended  12/10,5
DRIVER'S LIC REST-CODE A (NO GLASSES),5
CMV - SADDLEMOUNTS 393 71,5
CMV - DISQUALIFIED DRIVER -NO ENGLISH,5
CAB - RESTRICTION ON CONSUMER CREDIT,5
Airport - Parking Restricted,5
SPEEDING - SCHOOL ZONE 30/20 RADAR,5
PARKING - TOW AWAY ZONE RESERVED PARKING ( CITY LOT),5
PARKING - TOW AWAY PASSENGER ZONE ( UNATTENDED VEHICLE),5
PARKING - OTHER - FOR SALE ON CITY STREETS,5
NMV - FAILURE TO YIELD LEFT TURN,5
MIRROR VIOLATION-MOTORCYCLE 3-13-87,5
INSPECTION STICKER - EXPIRED 07/12,5
INSPECTION STICKER - EXPIRED  06/11,5
HEALTH ORD UNSANITARY CONDITION,5
GT - VEHICLE EXTERIOR CONDITIONS,5
GT - VALET BOOTH OBSTRUCTED PATH,5
FIRE - FLAMING FOOD/BEVERAGE PREPARATION,5
EXPIRED REGISTRATION  7/11,5
EXPIRED INSPECTION STICKER 09/11,5
EXPIRED DRIVER LICENSE - OPERATOR (NON-COMMERCIAL)  07/13,5
EXPIRED DRIVER LICENSE - OPERATOR (NON-COMMERCIAL)  06/12,5
CMV - NO REFLECTIVE TRIANGLES,5
CAB - CONSUMER CREDIT COUNSELING REFERRAL,5
BRAKE - PARKING BRAKES,5
AUTO REPAIR SHOP - FAILED TO KEEP RECORDS,5
ANIMAL - FOWL ENCLOSURE (3-99),5
ZONING -PROHIBITED USES,5
WPD - POLLUTANTS DISCHARGED,5
UNSAFE LANE CHANGE RIGHT,5
PASSING A SCHOOL BUS - SEPARATE ROADWAYS,5
PARKING - TOW AWAY ZONE-30674886,5
PARKING - TOW AWAY  TIME ZONE (UNMETERED) 2 HR PARKING,5
NON MOTORIZED VEHICLE - FAILURE TO YIELD ROW STOP SIGN,5
ILLEGALLY PARKED MOTOR HOME,5
GT- OPERATE IN NON-DESIGNATED AREA,5
GT - Pedi-cab-Too many passengers,5
FIRE - REQUIRED WATER SUPPLY,5
FIRE - NO KEY BOX,5
EXPIRED REGISTRATION 7/13,5
DEFECTIVE MUFFLER - EXCESSIVE NOISE,5
CAB - RESTRICTION ON CONSUMER CREDIT- EXCEEDS 20%,5
AIRPORT - DISREGARD ORDER OF POLICE,5
"""CMV - WEIGHT:  GROSS WEIGHT (5",5
ZONING - NO SWIMMING POOL PERMIT,5
WATERSHED - Sediment from construction site,5
ROAD CLOSED - POSTED SIGN,5
PARKING - PERMIT PARKING (METER HOOD/BAG),5
NSPECTION STICKER - EXPIRED 04/11,5
NON-MOTORIZED VEHICLE - UNSAFE TURN OR MOVEMENT,5
NMV - OPERATE BICYCLE WITH NO BRAKE,5
LOITERING WALKING IN STREET- 81A,5
KEEP OFF MEDIAN - POSTED SIGN,5
HUNTING WILD GAME WITHIN CITY LIMITS- RS 02/04/13,5
GT - DUTIES TO DISABLED PASSENGER,5
FIRE ORD - OBSTRUCTED EXIT,5
FAILURE TO YIELD - LEFT TURN/INTERSECTION,5
EXPIRED REGISTRATION 8/13,5
EXPIRED INSPECTION STICKER VIOLATION  12/08,5
EXPIRED INSPECTION STICKER VIOLATION  05/08,5
EXPIRED INSPECTION STICKER 10/07,5
DRIVING WHILE LICENSE INVALID - SUSPENDED  09/10,5
CUSTOMER SERVICE ZONE(OVER 15 MIN,5
CMV-CRACKED FRAME 393.201(A),5
ALCOHOL - PROHIBITED IN DESIGNATED AREA 1-6,5
AIRPORT - DRIVING ACROSS PROHIBITED AREA,5
PARKING - OTHER - EMERGENCY ROOM SERVICE ZONE,5
CMV - NO INSPECTION,5
EXPIRED OPERATORS LICENSE  12/09,5
EXPIRED INSPECTION STICKER 02/11,5
EXPIRED OPERATORS LICENSE 05/11,5
FIRE - FAILED TO CLEAR VEGETATION,5
FIRE - OPEN FLAME COOKING DEVICE,5
GT - BICYCLE APPLICATION VIOLATION,5
CMV - NO LAMPS WITH CLEARANCE/VISIBILITY,5
GT - HIGHFLAGGING UNUSED METER,5
EXPIRED REGISTRATION 9/12,5
CDL - LOG NOT CURRENT FORM 7DAYS,5
SPEEDING - 50 MPH,5
HAZMAT - OPEN/UNSECURED MANHOLE CLOSURE,5
CMV - COUPLING WITH A PINTLE HOOK,5
"""CMV - WEIGHT- GROSS WEIGHT (MORE THAN 40",5
INSPECTION STICKER - EXPIRED  03/10,5
INSPECTION STICKER - EXPIRED  04/11,5
WATER - STAGE 2 - ORNAMENTAL FOUNTAIN,5
INSPECTION STICKER - EXPIRED  12/12,5
INSPECTION STICKER - EXPIRED 05/12,5
INSPECTION STICKER - EXPIRED 11/11,5
INSPECTION STICKER - EXPIRED 8/13,5
DRIVING WHILE LICENSE INVALID - suspended    10/10,5
WRECKER - STORAGE FACILITY- NO LICENSE,5
DRIVER'S LIC REST - CODE C - DAYTIME,5
Parking - Without Permit,5
SMOKING - VENDING MACHINE WITHIN 25' OF ENTRY,5
Parking - Extending Time Beyond Limit (Pay By Space),5
POSTED SIGN - KEEP OFF MEDIAN,5
PARKING - TOW AWAY  COMM SERVICE ZONE (NO MARKINGS),5
PLACARDING-HM CLASS NOT PERM ON SUBSID,5
PARKING - TOW AWAY MEX CONSULATE PASS & LOAD ZONE,5
PARKING - TOW AWAY PASSENGER  ZONE (UNATTENDED VEHICLE),5
PARKING - TOW AWAY ZONE-30049070,5
PARKING - TOW AWAY ZONE  NO PARKING AREA,5
PARKING - TOW AWAY ZONE PERMIT PARKING (METER),5
POSTED SIGN - NO STOPPING/STANDING 6-11AM,5
FAILED TO SIGNAL INTENT TO TURN LEFT,5
MOTORCYCLE - IMPROPER RIDING,5
CMV-DRIVER'S RECORD OF DUTY STATUS,5
"""CMV - WEIGHT:  SINGLE AXLE (2",5
DEALER - NO VEHICLE TITLE ASSIGNMENT,5
FIRE - REFUSED INSPECTION,5
WSA - FIRE EXTINGUISHER NOT READILY ACCESSIBLE,5
WWW - POLLUTANTS DISCHARGED,5
ZONING - MERCHANDISE/CONTAINER ON SIDEWALK,5
EXTENDED LOAD - FLAG VIOLATION,5
GT - LIMOUSINE VEHICLE REQUIREMENTS,5
EXPIRED INSPECTION STICKER 06/09,5
EXPIRED REGISTRATION 01/12,5
EXPIRED REGISTRATION (5/13),5
EXPIRED OPERATORS LICENSE  11/07,5
EXPIRED OPERATORS LICENSE  01/11,5
EXPIRED INSPECTION STICKER  11/04,5
EXPIRED INSPECTION STICKER  08/08,5
"""CMV - WEIGHT: TANDEM AXLE (MORE THAN 5",5
EXPIRED INSPECTION STICKER  05/12,5
PARKING - PASSENGER ZONE (Unattended Vehicle),5
ANIMAL - PEN DISTANCE,5
AIRPORT - Shipping Undeclared Weapon,5
PASS IN NO-PASSING ZONE,5
HAZMAT - NO HAZARD CLASS/DIVISION IN PAPERS,5
DEFECTIVE EQUIPMENT - TAIL LIGHTS,5
CDL - POSSESSION ALCOHOLIC BEVERAGE,5
CMV - WEIGHT-OVER REGISTERED14001 - 18000 LBS,5
CMV-FRONT END HGT/WIDTH,5
BUILDING CODE - FAILED TO PROVIDE ELECTRICAL CIRCUITS,5
TAXICAB ORDINANCE - CITY CHAUFFEURS LIC,5
DRIVING WHILE LICENSE INVALID - SUSPENDED  03/12,5
PARKING - TOW AWAY ZONE PERMIT PARKING (UNMETERED AREA),5
CMV - HAZMAT - NO PLACARD,5
DRIVING WHILE LICENSE INVALID - suspended   03/10,5
INSPECTION STICKER - EXPIRED  01/13,5
BUILDING CODE - RESIDENTIAL STOP WORK ORDER,5
EXPIRED INSPECTION STICKER 06/11,5
NO HORN,5
ANIMAL - 2 OR MORE FOWL ENCLOSURE - DISTANCE,5
AIRPORT - FAILED TO SECURE,5
NMV - RAN FLASHING RED LIGH,5
EXPIRED OPERATORS LICENSE 08/10,5
CMV - ALLOWING UNQUALIFIED DRIVER,5
EXPIRED OPERATORS LICENSE 09-1-11,5
CMV - DEFECTIVE EXHAUST SYSTEM,5
WRECKER - IMPROPERLY IDENTIFIED WRECKER - rs 03/19/12,5
WATERSHED - CLEARING VEGETATION,5
UNFRANCHISED MEDICAL TRANSFER SERVICE,5
SPEEDING-STATE HIGHWAYS 65/55-LASER,5
INSPECTION STICKER - EXPIRED 08/2013,5
FIRE - UNPERMITTED LOCKING DEVICE,5
SMOKING WITHIN 15 FEET OF PUBLIC ENTRANCE,5
GT - ELSV - PASSENGER ON LAP,5
GT - TAXI MAX. NUMBER OF PASSENGERS,5
INSPECTION STICKER - EXPIRED  0810,5
NMV - FAIL TO MAINTAIN ASSURED CLEAR DISTANCE,5
NMV - FAILURE TO RIDE TO RIGHT SIDE,5
PARKING - TOW AWAY ZONE PERMIT PARKING (Meter Hood/Bag),5
PARKING - TOW AWAY ZONE PERMIT PARKING ( METER HOOD/BAG),5
PARKING - TOW AWAY TIME ZONE ( UNMETERED) 1 HR PARKING,5
INSPECTION STICKER - EXPIRED   09/11,5
PARKING - OTHER - PARKED IN ROADWAY,5
PARKING - TOW AWAY  COMM SERVICE ZONE (OVER 30 MINS),5
OPERATEE OR MOVED UNSAFE VEHICLE,5
INSPECTION STICKER - EXPIRED  03/11,5
NO SAFETY SEAT - CHILD UNDER,5
.,5
INSPECTION STICKER - EXPIRED  05/13,5
PARKING - ILLEGAL USE OF HANDICAP CARD,5
PARKING - TOW AWAY ZONE TAX I ZONE,5
PARKING - OTHER - PERMIT PARKING ONLY,5
DISTRIB. OF CIGARETTES TO MINORS,5
INSPECTION STICKER - EXPIRED 09/2013,5
INSPECTION STICKER - EXPIRED 09/13,5
INSPECTION STICKER - EXPIRED 08/12,5
INSPECTION STICKER - EXPIRED 03/00,5
INSPECTION STICKER - EXPIRED  09/13,5
NO SIGN FOR TOBACCO SALE,5
HEALTH ORD NO FOOD PERMIT,5
"""WWW: (15-1) BPA Return to service w/o repair",5
ECSD-REMOVAL OF PROTECTED TREE,5
MOTORCYCLE-OPERATOR NO/UNAPPROVED HELMET,5
GT - PEDICAB TRANSPORTATION -NO PERMIT,5
NMV - IMPROPER RIDING ON BICYCLE,5
EXPIRED DRIVER LICENSE - OPERATOR (NON-COMMERCIAL)  08/11,5
PARKING - TOW AWAY ZONENO PARKING AREA,5
PARKING - TOW AWAY CUSTOMER SERVICE ZONE ( OVER 15 MIN),5
"""CMV - CONCRETE TRUCK: TANDEM AXLE I-35 OVER 34",5
FAILED TO DISPLAY DRIVERS LICENSE  10/09,5
FAIL TO MAINTAIN FINANCIAL RESP-ACCIDENT,5
EXPIRED DRIVER LICENSE - OPERATOR (NON-COMMERCIAL)  09/12,5
EXPIRED INSPECTION STICKER  04/00,5
EXPIRED INSPECTION STICKER VIOLATION  03/08,5
EXPIRED OPERATORS LICENSE  08/09,5
EXPIRED OPERATORS LICENSE  11/10,5
EXPIRED INSPECTION STICKER 01/09,5
SMOKING ORD - ASHTRAYS,5
DRIVER'S LIC REST - CODE P AS WRITTEN,5
EXPIRED REGISTRATION 12/12,5
SOLID WASTE - Illegal disposal - private property/dumpster,5
SPEEDING - POSTED CITY STREET 50/40 RADAR,5
EXPIRED REGISTRATION TTC:502.407  05/11,5
CURFEW - PARENT,5
COUNTERFEIT INSTRUMENT,5
TOW AWAY MEX CONSULATE PASS & LOA,5
UNREASONABLY LOUD WARNING DEVICE,5
EXTENDED LOAD-FLAG VIOLATION,5
WRECKER - NO/DEFECTIVE OVERHEAD LIGHT,5
WWW - FAIL TO ABATE PUBLIC HEALTH NUISANCE,5
BUILDING VIOL - NO BUILDING PERMIT,5
BOAT - NO LIFE-SAVING EQUIPMENT,5
BOAT - BOATS TO RIGHT ON LAKE,5
GT - AIRPORT - BYPASS STAGING AREA,5
8036101,5
"""CMV- Weight Limit: Overall Gross Formula (5001-10",5
CDL - DRIVING WITH ALCOHOL  391.5(A)(2),5
CMV - SPOT LAMP VIOLATION,5
SPEEDING-STATE HIGHWAYS 82/60- Radar,5
TOO MANY FOG LAMPS,5
UTILITY - UNAUTHORIZED CONNECTION,5
UNSAFE LANE CHANGE (LEFT),5
Parking - Pay Station Receipt Not Displayed (Malfunctioning Pay Station),5
CONSUME\POSS ALCOHOL DURING PROHIBIT HRS,5
DRIVING WHILE LICENSE INVALID - SUSPENDED   10/06,5
PARKING - TOW AWAY COMM SERVOCE ZPME ( NO MARKINGS),5
DRIVING WHILE LICENSE INVALID - suspended  06/10,5
FIRE - SMOKE DETECTORS IN BEDROOMS,5
EXPIRED DRIVER LICENSE - OPERATOR (NON-COMMERCIAL)  02/12,5
EXPIRED INSPECTION STICKER  02/12,5
EXPIRED INSPECTION STICKER  03/06,5
EXPIRED INSPECTION STICKER  12/08,5
EXPIRED INSPECTION STICKER 05/11,5
GT - BUSINESS EST. W/OUT VALET PARKING PERMIT,5
EXPIRED INSPECTION STICKER 12/11,5
FAILED TO STOP - INOPERABLE LIGHT,5
EXTENDING TIME BEYOND LIMIT (MOTO,5
FAILURE TO IDENTIFY FALSE REPORT,5
FIRE - NO FIRE EXT IN TOWING VEHICLE,5
FAILURE TO REGISTER DANGEROUS DOG,5
OPEN GLASS CONTAINER - CITY PARK,5
WRONG SIDE OF RD - 4 LANES,5
EXPIRED OPERATORS LICENSE  03/10,5
INSPECTION STICKER - EXPIRED 09/11,5
EXPIRED INSPECTION STICKER VIOLATION  03/09,5
INSPECTION STICKER - EXPIRED  02/11,5
EXPIRED INSPECTION STICKER   08/10,5
INSPECTION STICKER - EXPIRED  04/13,5
INSPECTION STICKER - EXPIRED  9/12,5
IPMC - NON-COMPLIANT ELECTRICAL SYSTEM,5
LEAVING VEHICLE UNATTENDED LTS - (PARKED VEHICLE),5
EXPIRED OPERATORS LICENSE 07/07,5
NMV - POSTED SIGN NO RT/LFT/STRT TRAFFIC,5
EXPIRED OPERATORS LICENSE  09/05,5
NISI - Bond Forfeiture,5
REGISTRATION VIOL-FARM TRAILER PLATES,5
NMV ON SIDEWALK,5
AVIATION AIRPORT SECURITY PROGRAM,5
PARKING - EXPIRED METER-30963959,5
EXPIRED INSPECTION STICKER 02/12,5
EXPIRED OPERATORS LICENSE  07/28/11,5
CMV - NO HAZARD LIGHTS 393.19,5
CMV - FUME DISCHARGE IN UNSAFE LOCATION,5
PARKING - TOW AWAY ZONE NO PARKIING AREA,5
PARKING - TOW AWAY ZONE-30348246,5
EXPIRED INSPECTION STICKER  07/08,5
